Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000033940,7.59,9.79,Brk1
ENSMUSG00000012076,5.22,10.25,Brms1l
ENSMUSG00000046836,0,8.1,Brox
ENSMUSG00000022914,10.84,10.24,Brwd1
ENSMUSG00000071657,8.65,11.25,Bscl2
ENSMUSG00000023175,14,14.51,Bsg
ENSMUSG00000025103,3.95,9.17,Btbd1
ENSMUSG00000038187,7.3,9.24,Btbd10
ENSMUSG00000062202,1.24,7.07,Btbd9
ENSMUSG00000021660,10.71,11.42,Btf3
ENSMUSG00000028568,6.79,10.37,Btf3l4
ENSMUSG00000036478,4.79,10.05,Btg1
ENSMUSG00000020423,5.94,10.98,Btg2
ENSMUSG00000022863,9.8,10.11,Btg3
ENSMUSG00000025217,4,10.33,Btrc
ENSMUSG00000066979,12.31,11.83,Bub3
ENSMUSG00000005378,3.24,8.49,Bud23
ENSMUSG00000038722,7.04,9.78,Bud31
ENSMUSG00000023988,1.58,7.06,Bysl
ENSMUSG00000051223,5.63,9.54,Bzw1
ENSMUSG00000020547,1.43,7.98,Bzw2
ENSMUSG00000052848,3.02,8.34,C130026L21Rik
ENSMUSG00000000581,14.48,14.12,C1d
ENSMUSG00000048970,10.08,10.92,C1galt1c1
ENSMUSG00000018446,8.17,11.31,C1qbp
ENSMUSG00000036907,2.1,7.67,C1ql2
ENSMUSG00000040794,6.81,8.27,C1qtnf4
ENSMUSG00000024592,6.52,7.86,C330018D20Rik
ENSMUSG00000036377,3.33,7.41,C530008M17Rik
ENSMUSG00000028300,3.28,8.09,C9orf72
ENSMUSG00000028578,3.61,7.65,Caap1
ENSMUSG00000036707,3.03,9.06,Cab39
ENSMUSG00000015488,6.42,9.44,Cacfd1
ENSMUSG00000034656,6.16,8.12,Cacna1a
ENSMUSG00000040118,9.15,9.83,Cacna2d1
ENSMUSG00000057914,0,7.2,Cacnb2
ENSMUSG00000019146,4.39,7.3,Cacng2
ENSMUSG00000020723,5.41,7.82,Cacng4
ENSMUSG00000033417,4.94,7.11,Cacul1
ENSMUSG00000014226,13.53,14.3,Cacybp
ENSMUSG00000032076,13.08,13.18,Cadm1
ENSMUSG00000064115,4.94,7.44,Cadm2
ENSMUSG00000054423,8.33,10.32,Cadps
ENSMUSG00000028222,7.78,14.31,Calb1
ENSMUSG00000003657,3.36,8.76,Calb2
ENSMUSG00000001175,17.35,17.34,Calm1
ENSMUSG00000036438,17.98,17.77,Calm2
ENSMUSG00000019370,13.43,13.2,Calm3
ENSMUSG00000003814,9.71,11.16,Calr
ENSMUSG00000025468,13.95,13.9,Caly
ENSMUSG00000030272,5.01,12.13,Camk1
ENSMUSG00000057897,10.3,11.47,Camk2b
ENSMUSG00000053819,8.09,8.47,Camk2d
ENSMUSG00000046447,4.78,8.98,Camk2n1
ENSMUSG00000038128,1.71,8.68,Camk4
ENSMUSG00000071037,4.07,7.91,Camkmt
ENSMUSG00000021501,8.36,11.17,Caml
ENSMUSG00000026933,5.98,8.48,Camsap1
ENSMUSG00000041570,3.06,7.04,Camsap2
ENSMUSG00000014592,7.31,10.92,Camta1
ENSMUSG00000020114,8.36,9.3,Cand1
ENSMUSG00000020368,12.09,12.96,Canx
ENSMUSG00000028656,5.7,8.74,Cap1
ENSMUSG00000026270,5.31,7.19,Capn10
ENSMUSG00000021893,7.87,8.77,Capn7
ENSMUSG00000001794,7.56,10.5,Capns1
ENSMUSG00000027184,5.08,10.46,Caprin1
ENSMUSG00000070372,7.07,7.81,Capza1
ENSMUSG00000067017,6.33,7.05,Capza1-ps1
ENSMUSG00000015733,12.61,13.65,Capza2
ENSMUSG00000028745,11.94,12.88,Capzb
ENSMUSG00000010755,4.82,7.5,Cars
ENSMUSG00000060227,11.01,11.19,Casc4
ENSMUSG00000015189,7.1,7.16,Casd1
ENSMUSG00000031012,8.75,8.77,Cask
ENSMUSG00000037060,3.59,8.2,Cavin3
ENSMUSG00000035640,10.87,9.93,Cbarp
ENSMUSG00000038533,6.03,7.43,Cbfa2t2
ENSMUSG00000031885,6.67,7.43,Cbfb
ENSMUSG00000051483,9.81,11.29,Cbr1
ENSMUSG00000018666,10.21,10.12,Cbx1
ENSMUSG00000029836,8.74,8.6,Cbx3
ENSMUSG00000009575,12.25,11.84,Cbx5
ENSMUSG00000089715,6,7.46,Cbx6
ENSMUSG00000022428,8.47,10.68,Cby1
ENSMUSG00000020074,9.67,10.16,Ccar1
ENSMUSG00000028461,10.4,9.88,Ccdc107
ENSMUSG00000042111,4.86,8.03,Ccdc115
ENSMUSG00000019659,11.46,11.69,Ccdc12
ENSMUSG00000007721,11.99,11.89,Ccdc124
ENSMUSG00000021578,10.35,9.5,Ccdc127
ENSMUSG00000004994,2.83,7.28,Ccdc130
ENSMUSG00000029769,8.08,10,Ccdc136
ENSMUSG00000049957,5.54,7.51,Ccdc137
ENSMUSG00000034083,8.42,9.59,Ccdc174
ENSMUSG00000026578,6.48,7.25,Ccdc181
ENSMUSG00000029875,6.27,9.18,Ccdc184
ENSMUSG00000035173,3.58,7.34,Ccdc186
ENSMUSG00000022035,5.65,10.27,Ccdc25
ENSMUSG00000059554,9.04,9.3,Ccdc28a
ENSMUSG00000028795,3.38,10.64,Ccdc28b
ENSMUSG00000039983,7.73,8.84,Ccdc32
ENSMUSG00000020925,4.45,7.69,Ccdc43
ENSMUSG00000078622,7.09,10.57,Ccdc47
ENSMUSG00000038127,0.88,7.4,Ccdc50
ENSMUSG00000019897,9.14,11.17,Ccdc59
ENSMUSG00000048701,6.71,7.8,Ccdc6
ENSMUSG00000079084,2.72,8.23,Ccdc82
ENSMUSG00000032878,3.2,8.09,Ccdc85a
ENSMUSG00000032740,5.6,8.54,Ccdc88a
ENSMUSG00000030613,6.44,9.34,Ccdc90b
ENSMUSG00000037979,8.1,9.31,Ccdc92
ENSMUSG00000023235,6.67,10.41,Ccl25
ENSMUSG00000073888,7.83,7.66,Ccl27a
ENSMUSG00000073888,7.83,7.66,Ccl27a
ENSMUSG00000073888,7.83,7.66,Ccl27a
ENSMUSG00000073888,7.83,7.66,Ccl27a
ENSMUSG00000000378,5.36,7.22,Ccm2
ENSMUSG00000028252,7.93,10.19,Ccnc
ENSMUSG00000023572,12,11.22,Ccndbp1
ENSMUSG00000029385,5.18,8.91,Ccng2
ENSMUSG00000021548,7.01,10.11,Ccnh
ENSMUSG00000027829,4.78,9.43,Ccnl1
ENSMUSG00000029068,5.52,9.79,Ccnl2
ENSMUSG00000049489,4.61,8.3,Ccnq
ENSMUSG00000026349,7.11,9.81,Ccnt2
ENSMUSG00000086158,3.02,7.06,Ccpg1os
ENSMUSG00000034108,1.36,9.36,Ccs
ENSMUSG00000034024,10.08,11.64,Cct2
ENSMUSG00000001416,12.07,12.3,Cct3
ENSMUSG00000007739,12.09,12.18,Cct4
ENSMUSG00000022234,10.93,13.36,Cct5
ENSMUSG00000029447,11.54,12.41,Cct6a
ENSMUSG00000030007,13.13,14.25,Cct7
ENSMUSG00000025613,13.14,13.55,Cct8
ENSMUSG00000019818,7.19,10.51,Cd164
ENSMUSG00000022661,10.35,13.23,Cd200
ENSMUSG00000042502,4.02,8.85,Cd2bp2
ENSMUSG00000002308,5.04,8.36,Cd320
ENSMUSG00000047649,1.08,7.33,Cd3eap
ENSMUSG00000055447,8.14,12,Cd47
ENSMUSG00000025351,13.16,13.35,Cd63
ENSMUSG00000085939,10.88,11.03,Cd63-ps
ENSMUSG00000037706,12.55,14.66,Cd81
ENSMUSG00000015396,4.66,7.57,Cd83
ENSMUSG00000030342,4.22,10.86,Cd9
ENSMUSG00000035776,3.82,7.32,Cd99l2
ENSMUSG00000021982,7.33,9.82,Cdadc1
ENSMUSG00000039128,13.44,13.11,Cdc123
ENSMUSG00000038416,7.2,11.44,Cdc16
ENSMUSG00000024370,6.03,9.37,Cdc23
ENSMUSG00000066149,8.53,10.01,Cdc26
ENSMUSG00000019471,6.05,9.35,Cdc37
ENSMUSG00000024780,2.14,7.31,Cdc37l1
ENSMUSG00000006699,14.45,14.16,Cdc42
ENSMUSG00000052298,7.19,8.19,Cdc42se2
ENSMUSG00000023932,5.26,8.8,Cdc5l
ENSMUSG00000031673,4.03,7.48,Cdh11
ENSMUSG00000036510,2.82,8.63,Cdh8
ENSMUSG00000004071,6.47,10.92,Cdip1
ENSMUSG00000030682,6.88,9.33,Cdipt
ENSMUSG00000033862,6.92,7.29,Cdk10
ENSMUSG00000029062,4.96,9.53,Cdk11b
ENSMUSG00000020015,8.6,7.1,Cdk17
ENSMUSG00000029394,4.17,7.59,Cdk2ap1
ENSMUSG00000024856,5.03,8.95,Cdk2ap2
ENSMUSG00000006728,5.79,10.84,Cdk4
ENSMUSG00000028969,8.45,11.02,Cdk5
ENSMUSG00000048895,9.15,7.67,Cdk5r1
ENSMUSG00000018669,2.77,10,Cdk5rap3
ENSMUSG00000069089,3.6,7.74,Cdk7
ENSMUSG00000029635,3.97,7.6,Cdk8
ENSMUSG00000009555,4.73,7.66,Cdk9
ENSMUSG00000029403,3.64,7.21,Cdkl2
ENSMUSG00000031292,4.79,7.38,Cdkl5
ENSMUSG00000020392,9.21,7.98,Cdkn2aipnl
ENSMUSG00000096472,9.95,10.89,Cdkn2d
ENSMUSG00000064284,3.89,7.02,Cdpf1
ENSMUSG00000071753,3.3,8.03,Cdr1os
ENSMUSG00000058793,11.7,11.49,Cds2
ENSMUSG00000032803,8.91,8.8,Cdv3
ENSMUSG00000056501,3.18,7.43,Cebpb
ENSMUSG00000056216,7.11,7.82,Cebpg
ENSMUSG00000062691,11.77,10.73,Cebpzos
ENSMUSG00000005506,7.75,9.18,Celf1
ENSMUSG00000002107,9.34,8.13,Celf2
ENSMUSG00000024268,12.62,12.49,Celf4
ENSMUSG00000034818,4.57,7.23,Celf5
ENSMUSG00000032297,8,11.38,Celf6
ENSMUSG00000060240,8.63,8.31,Cend1
ENSMUSG00000026605,0.81,7.92,Cenpf
ENSMUSG00000018509,6.56,9.5,Cenpv
ENSMUSG00000025144,7.8,9.6,Cenpx
ENSMUSG00000020728,7.04,9.04,Cep112
ENSMUSG00000057335,3.26,7.41,Cep170
ENSMUSG00000035790,3.95,10.72,Cep19
ENSMUSG00000040774,7.48,10.53,Cept1
ENSMUSG00000015714,2.05,10.08,Cers2
ENSMUSG00000008206,10.43,9.93,Cers4
ENSMUSG00000023021,7.89,8.54,Cers5
ENSMUSG00000031347,12.71,13.09,Cetn2
ENSMUSG00000021537,12.42,13.72,Cetn3
ENSMUSG00000045031,10.81,7.26,Cetn4
ENSMUSG00000031796,10.94,11.4,Cfap20
ENSMUSG00000022972,9.95,9.92,Cfap298
ENSMUSG00000020462,10.32,12.42,Cfap36
ENSMUSG00000020284,7.12,9.62,Cfap410
ENSMUSG00000031954,11.94,12.19,Cfdp1
ENSMUSG00000056201,10.63,12.12,Cfl1
ENSMUSG00000062929,11.08,12.22,Cfl2
ENSMUSG00000054604,8.42,9.35,Cggbp1
ENSMUSG00000029161,6.66,7.55,Cgref1
ENSMUSG00000055128,9.19,10.36,Cgrrf1
ENSMUSG00000020309,5.63,7.16,Chac2
ENSMUSG00000063787,12.53,12.07,Chchd1
ENSMUSG00000049422,12.78,11.16,Chchd10
ENSMUSG00000070493,13.11,12.68,Chchd2
ENSMUSG00000053768,6.28,8.02,Chchd3
ENSMUSG00000034203,9.52,13.1,Chchd4
ENSMUSG00000037938,5.42,7.04,Chchd5
ENSMUSG00000030086,9.78,10.89,Chchd6
ENSMUSG00000042198,9.12,9.54,Chchd7
ENSMUSG00000018474,7.27,7.11,Chd3
ENSMUSG00000063870,5.44,7.24,Chd4
ENSMUSG00000005045,8.33,7.56,Chd5
ENSMUSG00000057133,6.98,8.04,Chd6
ENSMUSG00000056608,0.78,7.82,Chd9
ENSMUSG00000021194,7.07,8.23,Chga
ENSMUSG00000027350,12.67,12.7,Chgb
ENSMUSG00000031327,7.08,7.73,Chic1
ENSMUSG00000029229,3.83,10.24,Chic2
ENSMUSG00000025512,6.75,9.4,Chid1
ENSMUSG00000024843,4.26,7.49,Chka
ENSMUSG00000022617,2.75,9.17,Chkb
ENSMUSG00000030077,7.7,9.13,Chl1
ENSMUSG00000033916,13.84,13.2,Chmp2a
ENSMUSG00000004843,3.48,9.96,Chmp2b
ENSMUSG00000053119,10.1,11.1,Chmp3
ENSMUSG00000038467,6.32,7.54,Chmp4b
ENSMUSG00000028419,9.5,11.96,Chmp5
ENSMUSG00000025371,4.96,7.33,Chmp6
ENSMUSG00000056486,7.36,12,Chn1
ENSMUSG00000001774,7.51,9.6,Chordc1
ENSMUSG00000014077,6.05,8.86,Chp1
ENSMUSG00000032997,4.79,8.06,Chpf
ENSMUSG00000060002,7.37,8.49,Chpt1
ENSMUSG00000068391,9.71,11.95,Chrac1
ENSMUSG00000027221,6.04,7.45,Chst1
ENSMUSG00000034612,3.08,10.09,Chst11
ENSMUSG00000001017,7.44,10.07,Chtop
ENSMUSG00000025199,10.04,9.52,Chuk
ENSMUSG00000090258,7.63,8.7,Churc1
ENSMUSG00000003662,6.39,7.45,Ciao1
ENSMUSG00000032381,7.91,11.2,Ciao2a
ENSMUSG00000031879,12.05,11.19,Ciao2b
ENSMUSG00000031781,8.71,10.04,Ciapin1
ENSMUSG00000037493,11.56,10.83,Cib2
ENSMUSG00000021276,6.83,7.91,Cinp
ENSMUSG00000041777,6.38,7.65,Cir1
ENSMUSG00000045193,7.74,11.51,Cirbp
ENSMUSG00000037710,13.19,13.31,Cisd1
ENSMUSG00000028165,9.96,11.77,Cisd2
ENSMUSG00000078695,8.82,9.61,Cisd3
ENSMUSG00000029516,7.05,10.45,Cit
ENSMUSG00000051159,9.85,12.85,Cited1
ENSMUSG00000039910,5.72,7.91,Cited2
ENSMUSG00000040549,7.72,9.73,Ckap5
ENSMUSG00000001270,12.62,12.74,Ckb
ENSMUSG00000000308,6.55,8.32,Ckmt1
ENSMUSG00000028044,0.29,8.21,Cks1b
ENSMUSG00000033392,7.57,10.68,Clasp2
ENSMUSG00000027884,3.12,8.55,Clcc1
ENSMUSG00000004319,7.9,10.89,Clcn3
ENSMUSG00000000605,6.75,8.2,Clcn4
ENSMUSG00000022744,5.78,10.69,Cldnd1
ENSMUSG00000006169,4.56,7.8,Clint1
ENSMUSG00000049550,9.18,10.31,Clip1
ENSMUSG00000013921,6.88,7.76,Clip3
ENSMUSG00000024059,1.48,8.48,Clip4
ENSMUSG00000026034,7.81,9.98,Clk1
ENSMUSG00000020385,8.6,11.57,Clk4
ENSMUSG00000025439,10.68,12.21,Clns1a
ENSMUSG00000029238,5.81,7.56,Clock
ENSMUSG00000002660,12.02,11.51,Clpp
ENSMUSG00000002981,8.31,10.52,Clptm1
ENSMUSG00000021610,6.81,9.86,Clptm1l
ENSMUSG00000015357,6.26,8.96,Clpx
ENSMUSG00000039953,10.81,7.83,Clstn1
ENSMUSG00000008153,7.07,7.6,Clstn3
ENSMUSG00000028478,9.79,11.61,Clta
ENSMUSG00000047547,10.68,11.16,Cltb
ENSMUSG00000047126,11.97,11.22,Cltc
ENSMUSG00000022037,13.69,12.82,Clu
ENSMUSG00000019785,3.08,8.1,Clvs2
ENSMUSG00000025545,11.25,9.11,Clybl
ENSMUSG00000030282,12.72,12.71,Cmas
ENSMUSG00000039163,5.44,7.01,Cmc1
ENSMUSG00000014633,5.73,7.23,Cmc2
ENSMUSG00000034390,10.37,12.15,Cmip
ENSMUSG00000028719,8.29,10.91,Cmpk1
ENSMUSG00000022748,3.06,7.95,Cmss1
ENSMUSG00000030057,13.93,14.74,Cnbp
ENSMUSG00000024644,7.32,8.83,Cndp2
ENSMUSG00000036810,7.57,9.01,Cnep1r1
ENSMUSG00000015759,11.28,11.44,Cnih1
ENSMUSG00000024873,6.74,10.77,Cnih2
ENSMUSG00000062169,10.39,10.31,Cnih4
ENSMUSG00000053931,6.81,7.82,Cnn3
ENSMUSG00000056167,5.52,8.81,Cnot10
ENSMUSG00000020166,3.75,9.37,Cnot2
ENSMUSG00000038784,7.06,7.41,Cnot4
ENSMUSG00000034724,4.85,7.23,Cnot6l
ENSMUSG00000031601,7.37,10.44,Cnot7
ENSMUSG00000020515,3.77,9.72,Cnot8
ENSMUSG00000026174,8.13,10.25,Cnot9
ENSMUSG00000025381,10.98,12.2,Cnpy2
ENSMUSG00000023973,6.66,7.23,Cnpy3
ENSMUSG00000044629,9.95,10.36,Cnrip1
ENSMUSG00000055022,7.6,9.58,Cntn1
ENSMUSG00000039419,10.93,8.75,Cntnap2
ENSMUSG00000017188,14.62,13.91,Coa3
ENSMUSG00000044881,8.73,9.15,Coa4
ENSMUSG00000026112,7.9,8.31,Coa5
ENSMUSG00000051671,8.74,9.12,Coa6
ENSMUSG00000048351,8.37,8.19,Coa7
ENSMUSG00000001755,5.91,8.6,Coasy
ENSMUSG00000031753,2.68,7.27,Cog4
ENSMUSG00000034951,5.68,8.55,Cog7
ENSMUSG00000031916,4.41,8.16,Cog8
ENSMUSG00000051355,7.32,9.13,Commd1
ENSMUSG00000042705,7.73,10.77,Commd10
ENSMUSG00000036513,9.04,10.41,Commd2
ENSMUSG00000051154,9.88,12.37,Commd3
ENSMUSG00000032299,12.47,11.88,Commd4
ENSMUSG00000075486,10.12,11.31,Commd6
ENSMUSG00000056941,8.45,11.65,Commd7
ENSMUSG00000029213,9.26,10.24,Commd8
ENSMUSG00000027163,8.12,10.99,Commd9
ENSMUSG00000000326,7.09,9.89,Comt
ENSMUSG00000026553,5.95,9.21,Copa
ENSMUSG00000030754,6.31,11.01,Copb1
ENSMUSG00000032458,2.94,9.62,Copb2
ENSMUSG00000055681,12.93,13.12,Cope
ENSMUSG00000030058,11.67,12.16,Copg1
ENSMUSG00000031458,11.7,11.27,Coprs
ENSMUSG00000027206,9.54,10.67,Cops2
ENSMUSG00000019373,9.73,9.83,Cops3
ENSMUSG00000035297,12.96,12.94,Cops4
ENSMUSG00000025917,11.32,10.82,Cops5
ENSMUSG00000019494,12.18,13.19,Cops6
ENSMUSG00000030127,5.34,9.26,Cops7a
ENSMUSG00000034432,11.49,11.25,Cops8
ENSMUSG00000073616,13.73,12.31,Cops9
ENSMUSG00000060992,7.86,10.71,Copz1
ENSMUSG00000025981,6.74,9.71,Coq10b
ENSMUSG00000029319,6.78,7.62,Coq2
ENSMUSG00000028247,4.66,8.25,Coq3
ENSMUSG00000041733,3.32,8.22,Coq5
ENSMUSG00000030652,11.84,11.2,Coq7
ENSMUSG00000031782,3.62,7.35,Coq9
ENSMUSG00000024835,4.45,8.57,Coro1b
ENSMUSG00000004530,5.88,8.24,Coro1c
ENSMUSG00000023020,13.13,12.9,Cox14
ENSMUSG00000091803,9.07,8.36,Cox16
ENSMUSG00000046516,11.62,10.58,Cox17
ENSMUSG00000035505,3.04,7.8,Cox18
ENSMUSG00000045438,7.95,7.28,Cox19
ENSMUSG00000081359,9.01,7.41,Cox20b
ENSMUSG00000031818,15.68,14.53,Cox4i1
ENSMUSG00000000088,12.39,11.96,Cox5a
ENSMUSG00000061518,13.37,13.02,Cox5b
ENSMUSG00000041697,14.06,14.01,Cox6a1
ENSMUSG00000036751,13.75,13.43,Cox6b1
ENSMUSG00000014313,14.69,13.38,Cox6c
ENSMUSG00000066491,10.56,9.27,Cox6c2
ENSMUSG00000032330,14.26,13.37,Cox7a2
ENSMUSG00000024248,12.14,11.69,Cox7a2l
ENSMUSG00000031231,13.9,13.01,Cox7b
ENSMUSG00000017778,14.34,13.33,Cox7c
ENSMUSG00000035885,13.63,13.19,Cox8a
ENSMUSG00000037852,14.24,14.87,Cpe
ENSMUSG00000020300,1.52,8.51,Cpeb4
ENSMUSG00000022212,2.85,8.59,Cpne6
ENSMUSG00000022742,6.52,7.02,Cpox
ENSMUSG00000039007,3.27,10.49,Cpq
ENSMUSG00000041781,5.55,8.24,Cpsf2
ENSMUSG00000054309,8.53,10.07,Cpsf3
ENSMUSG00000055531,5.47,7.5,Cpsf6
ENSMUSG00000016481,6.38,8.39,Cr1l
ENSMUSG00000005362,5.85,9.91,Crbn
ENSMUSG00000025532,4.06,9.62,Crcp
ENSMUSG00000028466,6.62,11.27,Creb3
ENSMUSG00000022521,4.68,7.89,Crebbp
ENSMUSG00000048249,6.58,7.1,Crebrf
ENSMUSG00000051451,4.29,7.65,Crebzf
ENSMUSG00000040713,2.07,10.71,Creg1
ENSMUSG00000030284,4.45,8.57,Creld1
ENSMUSG00000023272,9.02,8.69,Creld2
ENSMUSG00000006356,10.5,13.3,Crip2
ENSMUSG00000024146,10.67,12.44,Cript
ENSMUSG00000017776,4.94,7.3,Crk
ENSMUSG00000027357,5.21,7.98,Crls1
ENSMUSG00000029121,4.44,8.23,Crmp1
ENSMUSG00000042401,8.75,12.49,Crtac1
ENSMUSG00000028199,2.26,7.87,Cryz
ENSMUSG00000058240,12.27,12.79,Cryzl1
ENSMUSG00000005683,3.43,8.85,Cs
ENSMUSG00000068823,10.51,10.52,Csde1
ENSMUSG00000002718,5.18,7.11,Cse1l
ENSMUSG00000024576,9.7,11.18,Csnk1a1
ENSMUSG00000025162,3.3,8.77,Csnk1d
ENSMUSG00000022433,1.57,7.98,Csnk1e
ENSMUSG00000073563,6.77,7.11,Csnk1g3
ENSMUSG00000074698,4.56,8.14,Csnk2a1
ENSMUSG00000024387,7.12,9.87,Csnk2b
ENSMUSG00000032482,7.81,10.08,Cspg5
ENSMUSG00000056763,4.84,7.65,Cspp1
ENSMUSG00000044647,3.94,9.14,Csrnp3
ENSMUSG00000027447,16.44,15.17,Cst3
ENSMUSG00000005054,10.29,11.32,Cstb
ENSMUSG00000031256,4.19,8.88,Cstf2
ENSMUSG00000027176,10.53,10.88,Cstf3
ENSMUSG00000106106,7.65,8.61,CT010467.1
ENSMUSG00000037373,9.43,9.9,Ctbp1
ENSMUSG00000005698,7.98,7.13,Ctcf
ENSMUSG00000063063,9.34,9.94,Ctnna2
ENSMUSG00000006932,10.26,7.46,Ctnnb1
ENSMUSG00000028988,7.06,9.21,Ctnnbip1
ENSMUSG00000027649,2.19,8.64,Ctnnbl1
ENSMUSG00000022240,9.9,8.47,Ctnnd2
ENSMUSG00000028633,2.53,7.15,Ctps
ENSMUSG00000031360,7.46,8.67,Ctps2
ENSMUSG00000005609,5.3,9.49,Ctr9
ENSMUSG00000017760,7.57,10.44,Ctsa
ENSMUSG00000021939,12.87,13.29,Ctsb
ENSMUSG00000007891,9.04,10.09,Ctsd
ENSMUSG00000083282,2.92,7.38,Ctsf
ENSMUSG00000021477,10.2,12.12,Ctsl
ENSMUSG00000016256,10.5,8.92,Ctsz
ENSMUSG00000031078,5.96,9.34,Cttn
ENSMUSG00000048644,7.73,10.66,Ctxn1
ENSMUSG00000074872,12.38,11.28,Ctxn2
ENSMUSG00000036748,9.55,10.9,Cuedc2
ENSMUSG00000029686,8.83,10.41,Cul1
ENSMUSG00000024231,8.05,10.85,Cul2
ENSMUSG00000004364,7.83,9.24,Cul3
ENSMUSG00000031446,1.6,8.91,Cul4a
ENSMUSG00000032030,6.95,7.9,Cul5
ENSMUSG00000024194,7.32,10.98,Cuta
ENSMUSG00000004096,9.57,11.8,Cwc15
ENSMUSG00000025898,6.16,8.41,Cwf19l2
ENSMUSG00000031778,9.92,7.8,Cx3cl1
ENSMUSG00000046668,4.72,10.37,Cxxc5
ENSMUSG00000037190,2.91,10.17,Cyb561d2
ENSMUSG00000024646,7.8,11.27,Cyb5a
ENSMUSG00000031924,5.52,7.88,Cyb5b
ENSMUSG00000018042,6.89,10.4,Cyb5r3
ENSMUSG00000022551,7.91,12.3,Cyc1
ENSMUSG00000063694,13.42,13.17,Cycs
ENSMUSG00000020340,7.68,10.47,Cyfip2
ENSMUSG00000020810,1.99,7.95,Cygb
ENSMUSG00000053929,8.27,8.41,Cyhr1
ENSMUSG00000036712,7.01,7.94,Cyld
ENSMUSG00000001467,8.45,9.44,Cyp51
ENSMUSG00000046727,11.66,13.1,Cystm1
ENSMUSG00000003269,8.95,9.03,Cyth2
ENSMUSG00000028608,7.76,11.04,Czib
ENSMUSG00000087269,11.25,8.92,D330023K18Rik
ENSMUSG00000094910,8.81,8.41,D430019H16Rik
ENSMUSG00000068373,1.72,8.75,D430041D05Rik
ENSMUSG00000019362,12.8,12.42,D8Ertd738e
ENSMUSG00000034574,4.98,8.97,Daam1
ENSMUSG00000022174,13.87,13.72,Dad1
ENSMUSG00000068921,6.5,9.66,Dap3
ENSMUSG00000034974,5.48,9.74,Dapk3
ENSMUSG00000026356,5.34,10.56,Dars
ENSMUSG00000000346,7.74,11.52,Dazap2
ENSMUSG00000026385,9.04,8.69,Dbi
ENSMUSG00000034675,6.78,10.46,Dbn1
ENSMUSG00000020476,6.61,9.38,Dbnl
ENSMUSG00000029878,9.97,9.28,Dbpht2
ENSMUSG00000022214,6.03,9.2,Dcaf11
ENSMUSG00000028436,2.86,7.79,Dcaf12
ENSMUSG00000022300,6.74,9.85,Dcaf13
ENSMUSG00000049106,6.98,7.08,Dcaf5
ENSMUSG00000049354,7.43,11.48,Dcaf7
ENSMUSG00000026554,6.09,7.46,Dcaf8
ENSMUSG00000020935,2.45,7.97,Dcakd
ENSMUSG00000027797,9.55,10.32,Dclk1
ENSMUSG00000031865,6.38,9.03,Dctn1
ENSMUSG00000025410,8.05,9.99,Dctn2
ENSMUSG00000028447,10.82,13.03,Dctn3
ENSMUSG00000024603,4.78,7.35,Dctn4
ENSMUSG00000030868,5.54,7.92,Dctn5
ENSMUSG00000031516,10.76,12.36,Dctn6
ENSMUSG00000027708,4.85,7.1,Dcun1d1
ENSMUSG00000051674,5.35,9.77,Dcun1d4
ENSMUSG00000032002,10.9,11.46,Dcun1d5
ENSMUSG00000074247,11.68,11.47,Dda1
ENSMUSG00000028194,2.19,10.37,Ddah1
ENSMUSG00000024740,6.23,8.92,Ddb1
ENSMUSG00000025408,3.53,7.52,Ddit3
ENSMUSG00000028757,10.93,13.27,Ddost
ENSMUSG00000068290,7.19,11.15,Ddrgk1
ENSMUSG00000037149,10.36,12.51,Ddx1
ENSMUSG00000055065,8.1,10.3,Ddx17
ENSMUSG00000041645,11.83,12.24,Ddx24
ENSMUSG00000032101,11.55,11.07,Ddx25
ENSMUSG00000005481,4.83,9.97,Ddx39
ENSMUSG00000019432,6.06,9.75,Ddx39b
ENSMUSG00000000787,9.37,10.3,Ddx3x
ENSMUSG00000021494,4.84,7.97,Ddx41
ENSMUSG00000020705,8.35,9.44,Ddx42
ENSMUSG00000021500,6.58,8.38,Ddx46
ENSMUSG00000030204,9.19,8.86,Ddx47
ENSMUSG00000020719,12.78,12.72,Ddx5
ENSMUSG00000020076,5.64,10.04,Ddx50
ENSMUSG00000020677,3.03,7.35,Ddx52
ENSMUSG00000004393,4.02,8.73,Ddx56
ENSMUSG00000058886,2.85,8.12,Deaf1
ENSMUSG00000038633,9.3,11.98,Degs1
ENSMUSG00000021377,9.9,10.14,Dek
ENSMUSG00000035901,6.99,7.99,Dennd5a
ENSMUSG00000023106,13.35,12.9,Denr
ENSMUSG00000022419,1.49,7.73,Deptor
ENSMUSG00000022365,4.8,10.75,Derl1
ENSMUSG00000018442,8.81,9.98,Derl2
ENSMUSG00000038055,2.13,7.04,Dexi
ENSMUSG00000028974,0.18,7.04,Dffa
ENSMUSG00000022555,2.15,8.9,Dgat1
ENSMUSG00000003166,5.15,8.99,Dgcr2
ENSMUSG00000003531,9.1,9.8,Dgcr6
ENSMUSG00000036095,8.65,9.21,Dgkb
ENSMUSG00000012117,5.11,9.18,Dhdds
ENSMUSG00000031730,4.37,7.66,Dhodh
ENSMUSG00000060038,3.61,8.58,Dhps
ENSMUSG00000002332,9.61,7.36,Dhrs1
ENSMUSG00000021094,9.48,10.27,Dhrs7
